eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,eplenmean,eprewmean
326.89,19.44,2203,0.013873502,0.16821289,2.1398938,-0.015311669,0.26214334,0.939730365,160,40960,1179.124201,2621440,326.89,19.44
321.19,17.95,2272,0.016727472,0.19321696,2.1156511,-0.021498596,0.106620856,0.976585792,161,41216,1186.334328,2637824,321.19,17.95
328.58,19.02,2238,0.015556072,0.19256592,2.084696,-0.012469962,0.24233626,0.946777314,162,41472,1193.653717,2654208,328.58,19.02
343.82,20.97,2251,0.011965771,0.14923096,2.0848649,-0.013547425,0.19927402,0.956965614,163,41728,1200.930271,2670592,343.82,20.97
345.09,21.59,2231,0.017336013,0.19315593,2.0906694,-0.014762581,0.16179115,0.960945811,164,41984,1208.273523,2686976,345.09,21.59
354.41,22.5,2248,0.014379951,0.17340088,2.095431,-0.016560655,0.1540431,0.955250565,165,42240,1215.560637,2703360,354.41,22.5
363.78,22.67,2277,0.013213013,0.16300456,2.0681047,-0.016135266,0.1847625,0.955213401,166,42496,1222.755008,2719744,363.78,22.67
352.08,21.03,2240,0.018346129,0.19480388,2.1194818,-0.016442902,0.2248502,0.935171805,167,42752,1230.069491,2736128,352.08,21.03
339.56,20.33,2237,0.016238399,0.1773885,2.1011293,-0.01446939,0.21333878,0.941919994,168,43008,1237.391518,2752512,339.56,20.33
340.07,20.53,2245,0.016091293,0.19399007,2.1191611,-0.013978346,0.24418207,0.93407698,169,43264,1244.690071,2768896,340.07,20.53
343.56,19.75,2233,0.019052008,0.2117513,2.1416683,-0.015852688,0.21790338,0.939539246,170,43520,1252.026187,2785280,343.56,19.75
333.1,19.2,2281,0.014722102,0.18159993,2.1176689,-0.012038534,0.20611526,0.936719991,171,43776,1259.207479,2801664,333.1,19.2
330.99,19.64,2244,0.018368507,0.20973714,2.1267738,-0.013938482,0.20309077,0.937920596,172,44032,1266.50706,2818048,330.99,19.64
353.18,20.6,2250,0.01553842,0.16507976,2.139574,-0.015294247,0.18076296,0.929861322,173,44288,1273.787733,2834432,353.18,20.6
354.49,20.62,2249,0.015605374,0.18792725,2.1353178,-0.017482946,0.19027089,0.938330166,174,44544,1281.071718,2850816,354.49,20.62
332,18.7,2264,0.012892033,0.15679932,2.1424844,-0.013639584,0.22462517,0.940934598,175,44800,1288.306855,2867200,332,18.7
